model,f1_test,f1_test_deploy,precision_test_deploy,recall_test_deploy,roc_auc_test_deploy,pr_auc_test_deploy,threshold_test_deploy
bert_preproc256_v1,0.9932868237462156,0.9874141876430206,0.9829157175398632,0.9919540229885058,0.9986505217091516,0.9975750214782956,0.9932550191879272
emotion_fusion_model_1,0.9938149756546916,0.9845978322875072,0.9773499433748584,0.9919540229885058,0.997666204645076,0.9896585559958112,0.9988950318577176
bert,0.9935534798052889,0.9834757834757836,0.9751412429378532,0.9919540229885058,0.9989138974687316,0.9978983383332004,0.9897712469100952
distilbert_preproc256_v1,0.992898474487112,0.9812393405343944,0.970753655793026,0.9919540229885058,0.9994567142056396,0.9977607447516196,0.9703805446624756
distilbert,0.9932956487445772,0.9806598407281,0.9707207207207208,0.9908045977011494,0.9993911634266524,0.9978052728427446,0.5
tfidf_linearsvc,0.9786046511627908,0.9705712637045586,0.9745075318655853,0.9666666666666668,0.996300426607753,0.9804505558283444,0.5478695250265049
emotion_fusion_tfidf_lsvc_1,0.9749497655726724,0.9682264586943964,0.9732868757259,0.9632183908045976,0.9960383407561676,0.98318409588799,0.9962782552357784
tfidf_lr,0.9743180306054556,0.9608745684695053,0.9619815668202764,0.9597701149425288,0.9955780781308996,0.977716995325589,0.5934508622390485
tfidf_mnb,0.9644204851752022,0.9473067915690868,0.9653937947494032,0.9298850574712644,0.9924684617495374,0.979182822640807,0.628514426324946
